Question;Answer;Author of Answer;Badges of Author of Answer;Votes of Answer
How to decide which NoSQL technology to use? [closed];I know this might seem like an odd place to point to but, Heroku has recently gone nuts with their noSQL offerings and have an OK overview of many of the current projects.  It is in no way a Slideshare press but it will help you start the comparison process:;;;4
Column-family concept and data model;Both models you've described are the same.;;;9
Does it make sense to use the repository pattern with a document database?;I don't know if this will help you but I was listening to a pod-cast a while back with Ayende Rahien talking about RavenDB.  He was suggesting that a document actually maps fairly well to an aggregate in the DDD philosophy.  If you're using nested documents to represent an aggregate and running into design issues perhaps nesting is not the best way to go?;Hans JonusHans Jonus;            38511 silver badge66 bronze badges;2
inheritance in document database?;"Well it's a pretty old question, but since I ended up here I'd like to add a 2017 update.
If your using mongoose to connect to MongoDb you may want to check out discriminators:";;;13
SQL Server vs. NoSQL;Sql Server scales pretty well. For example, Stack Overflow used it to serve you this very page. Facebook and Google might use a form of nosql, but even if you make it really big you're unlikely to rise to that level.;;;8
"How use sql ""like"" in PyMongo?";;;;
Using MongoDB vs MySQL with lots of JSON fields?;I'm not going to comment on the comparisons (I work for 10gen and don't feel it's appropriate for me to do so), however, I will answer the specific MongoDB questions so that you can better make your decision.;Mark HillickMark Hillick;            6,60511 gold badge1616 silver badges2222 bronze badges;13
What are the best uses of document stores?;Another feature of CouchDB is that you can create those aggregations, not as documents stored manually, but as views (which are derived from the stored data, and updated automatically.);;;9
Use Entity framework code first with nosql database;No, you can't.;Darin DimitrovDarin Dimitrov;            983k260260 gold badges32253225 silver badges28922892 bronze badges;10
Firebase warning: Using an unspecified index;;;;11
Are there any tools for schema migration for NoSQL databases? [closed];One of the supposed benefits of these databases is that they are schemaless, and therefore don't need schema migration tools.  Instead, you write your data handling code to deal with the variety of data stored in the db.;;;2
When to replace RDBMS/ORM with NoSQL [closed];NoSQL in the sense of different design approaches, not only the query language. It can have different features. E.g. column oriented databases are used for large amount of data warehouses, which might be used for OLAP.;buabua;            4,58111 gold badge2323 silver badges3030 bronze badges;0
Comparing MongoDB and RethinkDB Bulk Insert Performance;Leaving aside what coffemug posted:;;;6
Choosing a distributed shared memory solution;I suggest you to use Redisson - Redis based In-memory Data Grid for Java. Implements (BitSet, BloomFilter, Set, SortedSet, Map, ConcurrentMap, List, Queue, Deque, BlockingQueue, BlockingDeque, ReadWriteLock, Semaphore, Lock, AtomicLong, CountDownLatch, Publish / Subscribe, RemoteService, ExecutorService, LiveObjectService, SchedulerService) on top of Redis server! It supports master/slave, sentinel and cluster server modes. Automatic cluster/sentinel servers topology discovery supported also. This lib is free and open-source.;Nikita KoksharovNikita Koksharov;            9,3595656 silver badges6565 bronze badges;5
$or statement in $elemMatch;;;;
Full-text search in NoSQL databases [closed];Yes. See CouchDB-Lucene which is a CouchDB extension to support full Lucene queries of the data.;;;8
Does Cassandra support sharding?;yes, cassandra supports sharding, but in its own way.;khanmizankhanmizan;            92899 silver badges1717 bronze badges;-4
What makes Cassandra (and NoSQL in general) a better solution to an RDBMS?;The main advantage of NoSQL is horizontal scalability and distributed storage. That means you can have a large number of 'cluster nodes' and write to them in parallel. The cluster will ensure changes are propagated to the other cluster nodes eventually (eventual consistency).;Thomas MuellerThomas Mueller;            46.3k1212 gold badges105105 silver badges126126 bronze badges;15
Basics of MongoDB Scripts - How to;There's a built-in function for printing a json object.;;;15
Why exactly do we use NoSQL? [closed];NoSQL databases are there to solve several things, mainly:;tolitiustolitius;            21.2k55 gold badges6767 silver badges8080 bronze badges;14
How do I query AWS DynamoDB in python?;Make sure you've imported this:;;;13
way to update multiple documents with different values;You can use db.collection.bulkWrite() to perform multiple operations in bulk. It has been available since 3.2.;;;6
Price aside, why ever choose Google Cloud Bigtable over Google Cloud Datastore?;;;;
Is it OK to query a MongoDB multiple times per request?;;;;
What is the difference between Membase and Couchbase?;From the Couchbase Product Comparison Table:;jamesjames;            3,33388 gold badges3030 silver badges3838 bronze badges;7
"What are some ""mental steps"" a developer must take to begin moving from SQL to NO-SQL (CouchDB, FathomDB, MongoDB, etc)?";Just stop thinking about the database.;;;5
what's the difference between NoSql DB and OO Db?;An object-oriented database, like db4o, would be considered one of the alternatives presented by NoSQL, which means Not Only SQL.  It's a set of alternatives to relational databases: Voldemort, Hadoop, MongoDB, CouchDB, BigTable, Neo4J, db4o and others.;duffymoduffymo;            297k4242 gold badges356356 silver badges550550 bronze badges;6
Looking for a disk-based redis-like database [closed];There are numerous on-disk databases with Redis-like datastructures or even trying to be drop-in protocol-compatible replacements for Redis.;Roman StarkovRoman Starkov;            54.4k3535 gold badges232232 silver badges308308 bronze badges;9
NoSQL vs. SQL when scalability is irrelevant;"There are a lot of other conditions that I've been hearing about with non-relational systems vs relational. I prefer this terminology over sql/no-sql as I personally think it describes the differences better, and several of the ""no-sql"" servers have sql add-ons, so anyway.... what sort of concurrency pattern or tranaction isolation is required in your system. One of the purported differences between rel and non-rel dbs is the ""consistent-always"", ""consistent-mostly"" or ""consistent-eventually"". Relation dbs by default usually fall into the ""consistent-mostly"" category and with some work, and a whole lot of locking and race conditions, ;) can be ""consistent-always"" so everyone is always looking at the most correct representation of a given piece of data. Most of what I've read/heard about non-rel dbs is that they are mainly ""consistent-eventually"". By this it means that there may be many instances of our data floating around, so user ""A"" may see that we have 92 widgets in inventory, whereas user ""B"" may see 79, and they may not get reconciled until someone actually goes to pull stuff from the warehouse. Another issue is mutability of data, how often does it need to be updated? The particular non-rel db's I've been exposed to have more overhead for updates, some of them having to regenerate the entire dataset to incorporate any updates.";;;3
How to concatenate arrays from multiple documents in MongoDB?;Try to use aggregate:;Yevgeniy AnfilofyevYevgeniy Anfilofyev;            4,7072323 silver badges2727 bronze badges;27
Which embedded DB written in Java for a simple key/value store? [closed];For your use case I would recommend MapDB (http://www.mapdb.org);AndrejsAndrejs;            25k1111 gold badges9999 silver badges9292 bronze badges;14
Import a data base file.json into robo3T (robomongo);Ok, I found the answer. In shell Mac OS X or Unix type:;user2981029user2981029;            52411 gold badge55 silver badges1515 bronze badges;9
Redis | redis-cli INFO / avg_ttl value;;;;
MongoDb - Utilizing multi CPU server for a write heavy application;So right now, the easy solution is to shard.;;;18
What is the killer reason for using Mongoose ORM?;Knowing a defined schema beforehand can be handy, because then you can make assumptions that you otherwise might not be able to.;;;8
What is the difference between a Graph Database and a Network Database?;Copying from the book Designing Data-Intensive Applications by Martin Kleppmann.;Sumit SethiaSumit Sethia;            7322 silver badges44 bronze badges;7
Would MongoDB be a good idea for a social network site (developed in Ruby on Rails)?;My advice would be to use whatever you're most familiar with so that you can get up and running quickly. From your question it sounds like that would be SQL rather than MongoDB.;;;10
Using a Relational Database for schemaless Data - Best Practices;Storing schemaless data in SQL basically means implementing a key-value store that happens to use SQL as a back end. Since you aren't using any relational features and the schema is fairly trivial you won't find a lot of information on designing SQL databases this way. However, you should be able to find plenty of more general information on designing applications for key-value storage that will apply.;;;3
Simulating relations in MongoDB;I faced a similar issue and this  is how I solved it :;;;1
Many-to-many relationship with NoSQL database;Firstly, picking between NoSQL and a SQL database is hard if you're not familiar with the basic principles. If this is the only data you are storing, go with a relational (SQL). If there is more data (which I assume) and it requires more of a interwoven schema, stick with NoSQL hands down.;JonathanJonathan;            96611 gold badge77 silver badges2626 bronze badges;5
Design Redis database table like SQL?;With just 6 principles (which I collected here), it is very easy for a SQL minded person to adapt herself to Redis approach. Briefly they are:;Mehmet KaplanMehmet Kaplan;            1,3571717 silver badges2727 bronze badges;28
Is Cassandra a column oriented or columnar database;Hope this helps.;tharindu_DGtharindu_DG;            7,92055 gold badges5050 silver badges5757 bronze badges;26
Mongoid not in query;This is as per mongoid official doc : http://mongoid.org/en/origin/docs/selection.html;Pushp Raj SaurabhPushp Raj Saurabh;            1,0141111 silver badges1616 bronze badges;14
Why is there no **not equal** comparison in DynamoDB queries?;;;;
Cassandra file structure - how are the files used?;Cassandra File Format in detail;;;21
Any Persistent NoSQL datastore for Flutter?;"Have you tried objectdb? ""Persistent embedded document-oriented NoSQL database for Dart and Flutter"".";;;7
How to implement pagination when using amazon Dynamo DB in rails;"You can provide 'page-size' in you query to set the result set size.
The response of DynamoDB contains 'LastEvaluatedKey' which will indicate the last key as per the page size. If response does't contain 'LastEvaluatedKey' it means there are no results left to fetch.
Use the 'LastEvaluatedKey' as 'ExclusiveStartKey' while fetching next time.";;;2
Embedded non-relational (nosql) data store [closed];Take a look at RavenDB.  It looks as though it can be embedded and is schemaless and works with .NET;;;10
Cassandra or MySQL/PostgreSQL?;"There are many different flavours of ""NoSQL"" databases.  If your application is really like Wordnet perhaps you should look at a graph database such as Neo4j.";;;7
Case Insensitive search with $in;"You can use $elemMatch with regular expressions search, e.g. let's search for ""blue"" color in the following collection:";Zaur NasibovZaur Nasibov;            21.4k99 gold badges5050 silver badges8080 bronze badges;11
Is Cassandra good for storing files?;You should be OK with files of 10MB.  In fact, DataStax Brisk puts a filesystem on top of Cassandra if I'm not mistaken: http://www.datastax.com/products/enterprise.;;;7
Mongo DB Design, embedding vs relationships;One question you might want to consider is will there ever be a time where you'll need to reference the bills individually apart from their membership in a user? If so, it'll be simpler if they have an independent existence.;;;1
Multiple use of the positional `$` operator to update nested arrays;In case you can execute your query from the MongoDB shell you can bypass this limitation by taking advantage of MongoDB cursor's forEach function (http://docs.mongodb.org/manual/reference/method/cursor.forEach/);;;5
NOSQL denormalization datamodel;"One way to look at it is that the number of times the user changes his/her name is extremely rare.
But the number of times that board data is read and changed is immense.";;;2
Confused about Spring-Data DDD repository pattern;The reasoning behind this is pretty clearly stated in this blog post http://blog.springsource.com/2011/02/10/getting-started-with-spring-data-jpa/.;;;7
HBase standalone failed to connect (fail to create table);I'm not sure if you're on Mac, but I had this problem as well. It turns out that it was because a .DS_STORE file was in a folder of -ROOT- region server and causing a connect exception. Very strange!;;;3
MongoDB - too much data for sort() with no index error;"So it ""feels"" like you're using the index, but the index is actually a composite index. I'm not sure that the sort is ""smart enough"" to use only the partial index.";;;4
Elasticsearch and NoSql database [duplicate];;;;
Best Model for Representing Many to Many relationships with attributes in MongoDB;I think you should denormalize your collections. The important point when designing MongoDB collections and documents is to think about your views. What data do you need to display your view? The idea is that you should try to have that data be part of your document.;;;1
Examples for DynamoDB Materialized Graph Pattern;;;;
How to match by 'undefined' value in MongoDB Aggregation Framework?;If you want to filter out documents that have some fields missing, use the $exists operator.;ixe013ixe013;            8,69333 gold badges4444 silver badges7171 bronze badges;25
How do I update a property with the current date in a Mongoose schema on every save?;One way of accomplishing this is to use Mongoose Middleware and update the field pre-save.;Dave JensenDave Jensen;            4,48411 gold badge3939 silver badges4343 bronze badges;17
How to add new column family to an existing HBase table?;you can specify various properties of the new column family separated by a comma (,);;;8
How to enforce foreign keys in NoSql databases (MongoDB)?;"To answer your specific question - while MongoDB encourages handling foreign-key relationships on the client side, they also provide the idea of ""Database References"" - See this help page.";;;15
Using MongoDB and Neo4j together;You might be interested in the Neo4j Doc Manager for Mongo Connector. It's an extension to the Mongo Connector project that allows for real time one way synchronization of data from MongoDB to Neo4j. Documents inserted in MongoDB are converted to a property graph and automatically inserted into Neo4j. The collection and fields to be synched from Mongo to Neo4j can be configured.;;;10
"Changing ""schema"" in RavenDB";RavenDB serializes your .NET objects to JSON format. There is no schema.;;;3
mongodb connection timed out error;I had a similar experience, due to a query which took too much time to reply;;;15
"""IN"" statement in dynamodb";This is how we solved.;Min SoeMin Soe;            1,14711 gold badge1313 silver badges2323 bronze badges;0
java embedded library on-disk key-value database [closed];Since MapDB is a possible solution for your problem, Chronicle Map is also worth consideration. It's an embeddable Java key-value store, optionally persistent, offering a very similar programming model to MapDB: it also via the vanilla java.util.Map interface and transparent serialization of keys and values.;leventovleventov;            13.4k1010 gold badges6565 silver badges9393 bronze badges;3
schema' design for a social network;"@Alan B: I think that you're totally getting MongoDB. I agree with @daveslab version of the data, but you'll probably want to add ""followers"" too.";Gates VPGates VP;            44.2k1111 gold badges100100 silver badges107107 bronze badges;2
Proper NoSQL data schema for web photo gallery;Redis can handle this. For the RMDBS table you mentioned above:;;;3
Mongo schema-less Collections & C#;My current thought on this is to use the same sort of implementation I would using a relational database. Have a database version collection which stores the current version of the database.;;;0
Data Mining in a Django/Postgres application;Sorry Mridang Agarwalla, some times your question come back to mind ...;;;2
How would you get the last 10 keys redis?;As a workaround if I don't want to change anything in the cache, I tail the AOF file to see what's the latest change there.;YangYang;            1,14711 gold badge99 silver badges1313 bronze badges;2
.NET, JSON, Embedded, Free Commercial-Use data management solution? What to do? [closed];Have you taken a look at the Karvonite Framework? The Karvonite Framework provides a strongly-typed embedded database system that includes a portable library implementation for .NET / Windows Store / Silverlight / Windows Phone / Xbox development. I have only used this for small database implementations but so far it has met every one of my needs.;;;0
With the recent prevelance of NoSQL databases why would I use a SQL database?;Relational data modeling is a formal, mathematical solution for representing complex data without redundancy and without allowing anomalies.  You can design an optimal database design from the data relationships themselves.  This is the process of relational database normalization.;Bill KarwinBill Karwin;            484k8282 gold badges630630 silver badges780780 bronze badges;29
Unique IDs with mongodb;It can be done by using the findandmodify command.;;;17
Why are key value pair noSQL db's faster than traditional relational DBs;The efficiency comes from three main areas:;;;11
Clustering Keys in Cassandra;;;;
How to create and insert a JSON object using MySQL queries?;;;;
How to query nested objects in firestore [duplicate];;;;15
Finding all records containing a given subfield in mongodb;;;;
Transaction support in MongoDB;MongoDB does not support multi-document transactions.;;;10
NoSQL / RDBMS hybrid with referential integrity (delete cascade)?;"Given the requirements you specify in your question, a graph database is probably the sort of thing you are looking for, but there are other options. As @Niels van der Rest said, the two constraints of ""no a priori schema"" and ""referential integrity"" are very hard to reconcile. You might be able to find a Topic-Map based database that might do so, but I'm not familiar with specific implementations so I couldn't say for sure.";RecurseRecurse;            3,48711 gold badge2121 silver badges3636 bronze badges;10
Cassandra column key auto increment;To your first question:;sdolgysdolgy;            6,74733 gold badges3838 silver badges6060 bronze badges;7
Can redis fully replace mysql?;ACID compliance is a must, if data integrity is important. Medical records and financial transactions would be an example. Most of the NoSQL solutions, including Redis, are fast because they trade ACID properties for speed.;;;8
How to Model Real-World Relationships in a Graph Database (like Neo4j)?;;;;
"NoSQL: What does it mean for MongoDB or BigTable to not always be ""Available""";;;;6
Anyone using HyperDex in production?;Emin gave a talk in our company today. Sounds interesting project, but I think you would encounter some gotchas if deploy in production, such as load balancing and optimal subspace scheme.;;;3
Database replication on Raspberry Pi mesh network;According to this SO response:;nodermannoderman;            1,8641717 silver badges3333 bronze badges;3
Middleware for MongoDB or CouchDB with jQuery Ajax/JSON frontend;If you go with CouchDB, you can use CouchApp which is a set of scripts for deploying an application directly to a CouchDB database. In essence, you skip the middleware and use CouchDB's views, lists, and show functions along with clientside JavaScript to implement the whole app. If your app works in this architecture, it's surprisingly refreshing, simple and cool.;;;3
Hector vs Astyanax for Cassandra [closed];FWIW, I've only been working with Cassandra for about 2 weeks now, but I'm already successfully writing to Cassandra with Astyanax, using composite columns, etc.;;;1
timed out after 30000 ms while waiting for a server that matches WritableServerSelector;Had the same problem, in my case I was using Atlas MongoDB and my ISP was rotating IP pool for clients at random time intervals.;;;1
MAX(), DISTINCT and group by in Cassandra;Although this is an old question, it appears in Google search results pretty high. So I wanted to give an update.;;;22
neo4j: one-directional / two-directional relationships?;;;;
What is CAS in NoSQL and how to use it?;;;;
NoSQL and eventual consistency - real world examples [closed];"There are many applications where eventual consistency is fine. Consider Twitter as a rather famous example. There's no reason that your ""tweets"" have to go out to all of your ""followers"" instantaneously. If it takes several seconds (or even minutes?) for your ""tweet"" to be distributed, who would even notice?";;;4
Is SimpleDB similar to MongoDB? Are they both key/value type databases?;SimpleDB is described as:;;;4
"How to return the ObjectId or _id of an document in MongoDB? and error ""$in needs an array""";I got it! Actually , I could do it by this code:;;;8
Mongodb: sort documents by array objects;An alternative to using map/reduce, is to store the min value from the array out as a separate field in the document which you could then order on. When you add to the array, you also update this field if the new value is lower than the currently recorded minimum.;;;4
Dealing with lots of data in Firebase for a recommender system;;;;3
Disadvantages of CouchDB;2 more things, which make me cry when using CouchDB (though it's awesome):;Dmitrii SorinDmitrii Sorin;            3,71744 gold badges2929 silver badges3939 bronze badges;5
MongoDB replica set with simple password authentication;;;;
Most efficient way to store nested categories (or hierarchical data) in Mongo?;"If all categories are distinct then think of them as tags. The hierarchy isn't necessary to encode in the items because you don't need them when you query for items. The hierarchy is a presentational thing. Tag each item with all the categories in it's path, so ""Sport > Baseball > Shoes"" could be saved as {..., categories: [""sport"", ""baseball"", ""shoes""], ...}. If you want all items in the ""Sport"" category, search for {categories: ""sport""}, if you want just the shoes, search for {tags: ""shoes""}.";;;4
What should be the considerations for choosing SQL/NoSQL? [closed];Digg have some interesting articles on this question. Essentially, you're shifting the burden of processing to writes rather than reads, which may be desirable in highly scalable applications. Cassandra specifically is also highly available.;;;1
DynamoDB: How to store a list of items;;;;
How to model Student/Classes with DynamoDB (NoSQL);To join two Amazon DynamoDB tables;;;-3
Clojure and NoSQL databases [closed];MongoDB compared with CouchDB: http://www.mongodb.org/display/DOCS/Comparing+Mongo+DB+and+Couch+DB;;;3
NoSql Referential Data;I suppose CouchDB is a NoSQL database, if you say so.;JasonSmithJasonSmith;            70k2121 gold badges120120 silver badges147147 bronze badges;4
MongoDB embedded vs array sub document performance;;;;
MongoDB client throws a FileNotFoundException in mscorlib;"I had the same problem here. The fix is pretty simple: edit the config file and on the node ""dependentAssembly"" where name attribute is ""System.Runtime.InteropServices.RuntimeInformation"", just remove the publicKeyToken attribute.";;;13
How to do inner joining in MongoDB?;As Tiramisu wrote this looks like schema issue.;;;19
commitLog and SSTables in Cassandra database;;;;
ElasticSearch returning only documents with distinct value;ElasticSearch doesn't provide any query by which you can get distinct documents based a field value.;dark_shadowdark_shadow;            3,4661010 gold badges5050 silver badges8080 bronze badges;9
Riak on Windows;Looks like the riak source has several bash start scripts. You would have to convert those to a windows batch script equivalent. That could be a fairly interesting chore given how limited batch scripts are. Those start-*.sh files show how to start it up though so I'd start there.;;;10
Downsides of storing binary data in Riak?;The only problem I can think of is storing binary data larger than 50MBs which they advise against. The whole point of Riak is just that:;Oscar GodsonOscar Godson;            29.5k4040 gold badges106106 silver badges195195 bronze badges;7
Querying with Redis?;If able(easy to implement) you should use these primitives(strings,hashes,lists,set and sorted sets). The main advantage of Redis is that is lightning fast, but that it is rather primitive key-value store(redis is a little bit more advanced). This also means that it can not be queried like for example SQL.;AlfredAlfred;            57.9k3030 gold badges139139 silver badges183183 bronze badges;6
How does Meteor receive updates to the results of a MongoDB query?;Currently, Meteor really works well with one instance/process. In such case all queries are going through this instance and it can broadcast it back to other clients. Additional, it polls MongoDB every 10s for changes to the database which were done by outside queries. They are plans for 1.0 to improve the scalability and hopefully allow multiple instances to inform each one about changes.;;;3
How to handle changes in duplicated data in NoSQL;"One thing to do is  to have one ""system of record"" or master for each type of data you have. There need not be single source for all the data but each should have one.";;;11
Modeling friend of friend relationships in MongoDB;"This is all very relative. Your basic assumption on fetching ""friends of friends of friends"" is correct, it's a few hops and a couple of in-memory ""distincts"".";;;7
"""Could not find transactional storage type"" error with embedded RavenDB";You need to add a reference to Raven.Storage.Esent.dll;;;5
Lightweight database (SQL or NoSQL);When choosing between a relational database or a document-oriented database, it is best to focus on the data storage needs of the specific application. If an application better suited for a relational database is written on top of a document-oriented database such as MongoDB, it will be less efficient and consume more resources.;;;5
Getting values out of DynamoDB;;;;
Cassandra time series data;;;;
Graph-structured databases and Php;"Sounds to me a little bit like a ""typical"" Prolog problem... which is a quite different programming language than PHP. But perhaps you could work with popen.";;;1
Why are RDBMS considered Available (CA) for CAP Theorem;I believe you are misunderstanding the relation between CAP-Availability and node-UP/DOWN. Availability is about providing an answer to every received query - when a node is down it cannot receive queries, therefore if you bring down parts of or the entire cluster, the CAP-Availability property holds. Although this may sound counter intuitive at first glance, by shutting down nodes you are holding on to CAP-Availability and dropping CAP-Partition tolerance instead. I've recently posted an answer whose examples provide some clarification.;João MatosJoão Matos;            4,19344 gold badges2929 silver badges5959 bronze badges;1
Need advice on MongoDB schema for Chat App. Embedded vs Related Documents;I am a big fan of mongodb as a document database aswell. But are you sure you are using mongodb for the right reason?  What is mongodb powerful at?;;;2
Is PostgreSQL a NoSQL database? [closed];PostgreSQL is not NoSQL.;;;7
Why NoSQL say traditional RDBMS is not good at scalable [closed];Why NoSQL dudes and dudettes don't like joins: http://www.dbms2.com/2010/05/01/ryw-read-your-writes-consistency/;;;2
Difference between Hadoop and Nosql [closed];According to Wikipedia:;Ignacio Contreras PinillaIgnacio Contreras Pinilla;            50111 gold badge55 silver badges2121 bronze badges;9
Riak performance - unexpected results;A recommendation I'd have now that some time has passed and several new versions of Riak have come about is this.  Never rely on full bucket map/reduce, that's not an optimized operation, and chances are very good there are other ways to optimize your map/reduce so you don't have to look through so much data to pull out the singlets you need.;;;4
Implementing a database -- How to get started;Because the accepted answer only offers (good) links to other resources, I'd thought I share my experience writing webdb, a small experimental database for browsers. I also invite you to read the source code. It's pretty small. You should be able to read through it and get a basic understanding of what it's doing in a couple of hours. Warning: I am a n00b at this and since writing it I learned a lot more about it and see I have been doing some things wrong. It can help you get started though.;;;17
How can i change the name of databases in redis?;;;;
Which NoSQL DB is best fitted for OLTP financial systems?;One has to think about the problem differently.  The notion of transaction consistency stems from the UD (update) in CRUD  (Create, Read, Update, Delete).  noSQL DBs are CRAP (Create, Replicate, Append, Process) oriented, working  by accretion of time-stamped data. With the right domain model, there is no reason that auditability and the equivalent of referential integrity can't be achieved.;;;7
Storing images in NoSQL stores;Mongo DB should work well for you.  I haven't used it for blobs yet, but here is a nice FLOSS Weekly podcast interview with Michael Dirolf from the Mongo DB team where he addresses this use case.;;;11
Mongodb only insert if value is unique, else update - in node.js;;;;
Has anyone used an object database with a large amount of data?;When I started db4o back in 2000 I didn't have huge databases in mind. The key goal was to store any complex object very simply with one line of code and to do that good and fast with low ressource consumption, so it can run embedded and on mobile devices.;;;6
Neo4j and ORM (Hibernate);Instead of Hibernate, I would take a look at http://www.springsource.org/spring-data/neo4j which is annotation driven, supported by Spring and works very well. Would this be something to work with?;;;7
PouchDB structure;No.;;;8
CQRS Data store approach Nosql Or Sql Server;Personally, I prefer one aggregate per table, but this depends case by case. Even when using one table for all aggregates, partition tech could be used to alleviate potential performance issue.;;;6
How do I set the maximum memory size that Redis can use?;You can do that using maxmemory option: maxmemory 314572800 means 300mb.;;;7
mongoDB vs mySQL -- why one is better than another in some aspects [closed];;;;
mongodb index strategy for range query with different fields;You can use a Compound index in order to create an index for multiple fields.;;;2
Looking for a lightweight java-compatible in-memory key-value store [closed];Your question could mean one of two things.;cletuscletus;            592k160160 gold badges894894 silver badges937937 bronze badges;3
Most Efficient One-To-Many Relationships in Google App Engine Datastore?;;;;3
Which of CouchDB or MongoDB suits my needs?;;;;
Querying CouchDB documents between a start date and an end date;Use an array key in your map function;;;4
How to cascade delete document in mongodb?;MongoDB doesn't support for cascade delete as of now. As you are already storing the ref photos in the User model, you can get the photo ids from the reference list and delete the photos together. Or instead of storing the photos in the separate collection you can have the array of Photos embedded into the user object.;;;3
Querying nested attributes in Amazon DynamoDB;This is an example from here where you use a filter expression, it is with a scan operation, but maybe you can apply something similar for query instead of scan (take a look at the API):;;;1
Which CouchDB API to use for Rails?;With Rails 3 use (or at least seriously consider using) CouchRest Model.  It appears to be well maintained, since as of this update on 2013/12/19 I see several changes that are only 2 weeks old.;iconoclasticonoclast;            18.8k1010 gold badges9595 silver badges127127 bronze badges;3
How can I calculate database design storage costs?;Here's an AskTom article I found helpful.  It is Oracle-specific though.;;;5
Alternatives to traditional relational databases for activity streams;I am also planning on moving away from SQL. I have been looking at CouchDB, which looks promising. Looking at your requirements, I think all can be done with CouchDB views, and the list api.;;;2
How can graph databases scale horizontally, if at all?;Neo4j supports sharding and is trying to tackle with sharding problems. Please take a look at http://jim.webber.name/2011/02/16/3b8f4b3d-c884-4fba-ae6b-7b75a191fa22.aspx;;;3
What are good NoSQL and non-relational database solutions for audit/logging database;Yes, you should!  If you just want to store stuff and scan it, you might as well write to a file.  Very fast, no overhead!  But the minute you want to summarize data over time (last 24h, or between time t and t+1), the more you care about the data as something other than lines of text, no question a proper RDBMS is your friend.;;;2
Do graph databases deprecate relational databases?;"Building on Erwin Smout's fine answer, an important reason why the relational model supplanted the graph one is that a graph has a greater degree of ""bias"" baked into its structure than relations do. The edges of a graph are navigational links which user queries are expected to traverse in a particular way. A relational model of the same data assumes much less about how the data will be used. Users are free to join and manipulate relational data in ways that the database designer might not have foreseen. The disruptive costs of re-engineering graph database structures to support new requirements were a factor which drove the adoption of the relational model and its SQL-based offshoots in the 1980s.";;;16
Handling optional/empty data in MongoDB;There is little difference between the null value field and a document without the field.  The main difference is that the former consumes a little disk space, while the latter does not consume at all.  They can be distinguished by using $exists operator.;Akihiro HARAIAkihiro HARAI;            56411 gold badge77 silver badges1515 bronze badges;7
Unique value in redis list/set;Why not just call Redis.lrem before? So if it finds any occurences of the item, removes them, otherwise will do nothing. Something like this:;;;2
how Cassandra chooses the coordinator node and the replication nodes?;"The coordinator node is typically chosen by an algorithm which takes ""network distance"" into account. Any node can act as the coordinator, and at first requests will be sent to the nodes which your driver knows about. But once it connects and understands the topology of your cluster, it may change to a ""closer"" coordinator.";AaronAaron;            49.8k1111 gold badges110110 silver badges122122 bronze badges;17
Best DataMining Database;You probably do need a full relational DBMS, if not right now, very soon.  If you start now while your problems and data are simple and straightforward then when they become complex and difficult you will have plenty of experience with at least one DBMS to help you.  You probably don't need MySQL on all desktops, you might install it on a server for example and feed data out over your network, but you perhaps need to provide more information about your requirements, toolset and equipment to get better suggestions.;High Performance MarkHigh Performance Mark;            75k77 gold badges9999 silver badges149149 bronze badges;12
How to integrate Redis with SQLAlchemy;Redis is very good at what it does, storing key values and making simple atomic operations, but if you want to use it as a relational database you're really gonna SUFFER!, as I had... and here is my story...;cyraxjoecyraxjoe;            5,39833 gold badges2626 silver badges4141 bronze badges;14
Why is DynamoDB LastEvaluatedKey depends on the limit of the query?;Actualy i found that it's an expected result according to the doc;;;7
Do I absolutely need a minimum of 3 nodes/servers for a Cassandra cluster or will 2 suffice?;;;;
Representing a DAG (directed acyclic graph);I think the upcoming version (beta at the moment) of the Ruby bindings for the graph database Neo4j should be a good fit. It's for use with Rails 3. The underlying data model uses nodes and directed relationships/edges with key/value style attributes on both. To scale read-mostly architectures Neo4j uses a master/slave replication setup.;;;5
HBase cassandra couchdb mongodb..any fundamental difference?;"Here is a detailed comparison between HBase and Cassandra
Here is a (biased) comparison between MongoDB and CouchDB";;;5
SQL vs NoSQL: what about other issues than ACID and scalibility?;;;;3
Lucene as data store;I've only worked with Solr, the Lucene derivative (and I would recommend using Solr to just about anyone) so my opinion may be a little biased but it should be possible to use Solr as a datastore yes, however it wouldn't be very useful without something more permanent in the background.;;;4
List of Python Object Databases [closed];MongoDB perhaps comes close - not object oriented but document-oriented and coming close to object databases.;;;6
NoSQL database for storing big files? [closed];If you're going to store binary files in a non-relational database, you could look into using Luwak. You could also look into using Hadoop's HDFS to store your files in a distributed fashion. Neither of these solutions will do much for you until you have three or more servers to run them on and a fast network backbone to support the file replication.;;;7
redis: Handling failover?;;;;
Django with NoSQL database;Here is an interesting repo for allowing using MongoDB as your django backend. It works by compiling SQL commands into MongoDB document queries.;;;10
Embeddable document store database [closed];Actually CouchDB is not strictly server-oriented. It's intended to run on a variety of environments. See here for couch on mobile.;Ricardo TomasiRicardo Tomasi;            32.7k22 gold badges5454 silver badges6666 bronze badges;2
Is there an Azure database equivalent to Firebase clients being able to listen for database changes?;;;;7
What are the alternative ways to model M:M relations in Cassandra?;Cassandra by design is Key value database, so to achieve M:M there are two ways to do it.;mamumamu;            11.8k1919 gold badges6767 silver badges9191 bronze badges;2
